"expr_55"	"expr_58"	"expr_64"	"expr_67"	"expr_70"	"expr_73"	"expr_76"	"expr_79"	"expr_82"	"expr_85"	"expr_88"	"expr_91"	"expr_94"	"expr_97"	"expr_103"	"expr_106"	"expr_109"	"expr_115"	"expr_118"	"expr_121"	"expr_127"	"expr_130"	"expr_133"	"expr_136"	"expr_142"
"1_st"	0.848256028247334	0.750380550544538	-1.08140451206662	0.369325419597603	0.3548182777346	-0.00965274988105065	-0.876200878942924	-0.028408217972834	-0.762112440015602	1.16422524804152	0.475244888116866	0.603328627214615	1.67501605038838	-1.65851833253485	0.743926076017872	0.485889671954193	-1.1886723793048	0.352357443219755	-0.00703902688549675	-0.35030481656698	-0.881873962733555	1.1982119933732	-0.124834042178718	1.83479961977287	-0.798907092437019
"2_st"	0.559121336666819	1.47470308812253	1.29252406001425	1.77013875105386	-1.11206457214487	0.692627113519369	0.363946336636861	-0.804760157162551	1.06790345513445	1.18208366408728	0.106025621597847	-1.00775506810745	0.0117281318226057	1.22683233154868	-0.00142214209108935	-1.27230765246547	0.430236752705772	-0.244613029588452	-0.09335057983921	-0.819546534516935	-2.01653855231421	0.774481558585972	-0.200906390874011	-0.634235786448572	0.304042106455059
"3_st"	0.0958367179600749	0.937605623879574	0.458534074533592	1.14130260370289	1.27495936601038	-0.856441475468149	-2.04271385994181	0.432273739647299	0.39593534487908	0.590817675454402	1.31092530998139	0.243082252147037	-0.743848788546097	-2.44353892695189	1.10718447736901	0.863190914399543	1.08097046131475	0.14336140163271	-0.311764075492373	0.521151333833401	-0.357234721192976	0.103560283219801	-1.44719263758609	0.599084505178975	-0.447034940479653
"4_st"	-0.918170969096182	-0.660405833094813	-0.100609698536081	1.0832723196552	0.228193601236628	-0.561891748958627	0.706939056876692	0.298975625058991	0.234896548653623	0.109284871859279	0.873117441783411	0.701920739499581	-0.433396298604174	0.599329515105939	-1.06822304993046	0.939133218931654	0.628957746322399	-1.02368945874745	0.520455152130074	0.749170870324582	-2.68923413039905	-1.57762522455141	0.0524624787950605	0.000820110183296057	-0.755315855398318
"5_st"	0.0392522264326767	-0.580415469149361	0.453855105044299	-0.345164746369212	0.629293668629922	-0.236293095666314	-0.420195997440846	0.422977494652056	-1.15038714556256	1.01150250985063	0.583489952122935	-1.09471098942786	0.94712263038697	1.4919085268169	-0.0837911706534541	-1.63317217032138	2.2759120169487	-0.622807089418469	-0.16722282075851	-1.75559342917529	-0.849760474595609	-1.1815103500566	1.1018826793051	0.740652787653973	0.382063039998962
"6_st"	0.736756907266128	-0.071529386454661	0.511672328319057	-0.0751424895016898	1.14204099136316	-0.381966007472174	-1.91007355411949	0.606058936273204	1.17903359228578	-2.16164216200094	-0.604535880528149	-0.661701899204134	-1.96956880036757	-1.86056418509334	1.42139890962399	-0.74874905064168	-0.0399961699242068	-0.415653817046748	-1.39841669323741	0.91807143689301	-0.063290118824824	-0.0427020277145195	-0.224869462395943	0.522622548133052	1.54417229320342
"7_st"	0.509621917112887	-2.15785347372593	0.94213799374453	0.458332989797919	0.228608286766757	0.702574812748972	-0.156827027671777	1.67468811310267	-2.82541739340596	-1.31732556209008	-0.540296134729937	1.16112890467597	-1.44729845871888	-0.309698235213761	0.0652677401972043	0.0920526285750326	-0.0976161519927563	1.12832002372055	0.52568881279506	-0.0332294636001439	-0.325158904151179	0.554584610807635	-1.82805748668109	-0.453226468559158	1.54994683031307
"8_st"	-3.23269672295373	1.10717499674605	-1.45801724992954	-0.0253270919397933	0.116208037656524	-1.41778399625944	-1.44537887612156	0.169099652204251	0.300875936018467	0.809282679453158	0.978269542846926	-0.63936527716546	-0.247597030736381	0.735782945521306	-0.000253140303852592	-0.501786247213238	-0.770442052377236	2.03431375192241	0.260331877439238	-0.515314672282973	-0.0934063261717462	0.417667350576079	1.00883702893244	-0.817981606718076	-0.952887592659374
"9_st"	-0.0538039818463699	-0.459882244329677	0.705015286724749	0.63978149017786	1.55729812846855	0.845239441734945	-1.27698713737609	-0.465618089158104	0.0364772373798299	-1.51427465003306	-0.176524679462734	-0.706544791644555	0.253713548893448	1.02658855072812	-0.305105893305048	-0.853218988492443	0.260940930793986	0.512280842557642	0.171421570171097	0.308147966541953	0.319031279868201	1.00669466437346	-0.898706447983917	1.08116014627724	1.61802400140023
"10_st"	1.05209187080882	0.577076827742994	0.30429017517101	-0.0296036722166814	1.58413819714311	-0.733210303199524	0.564250877998793	0.575785021630842	-0.273961255038051	-1.05392102549091	1.82495314485834	-0.192920118912489	-0.674140469474261	-1.47427579642766	2.20683084980701	-0.310656107493698	0.738246504686488	-0.875310549912604	0.636852579122859	-0.742366987104651	-0.928881447263052	-0.636191902389655	0.309613939282488	-1.71416560994932	-0.559754847079329
